indicator,indicator_name,date,open,high,low,close,volume
SP500,S&P 500,2026-03-03,6800.259765625,6840.0498046875,6710.419921875,6816.6298828125,6442080000.0
SP500,S&P 500,2026-03-04,6831.68994140625,6885.93994140625,6811.64013671875,6869.5,5252170000.0
SP500,S&P 500,2026-03-05,6851.080078125,6870.43017578125,6770.77978515625,6830.7099609375,5989300000.0
SP500,S&P 500,2026-03-06,6769.02978515625,6773.419921875,6711.56005859375,6740.02001953125,5793120000.0
SP500,S&P 500,2026-03-09,6699.7998046875,6810.43994140625,6636.0400390625,6795.990234375,6709410000.0
SP500,S&P 500,2026-03-10,6796.56005859375,6845.080078125,6759.740234375,6781.47998046875,5944950000.0
SP500,S&P 500,2026-03-11,6790.08984375,6811.14990234375,6745.58984375,6775.7998046875,5511090000.0
SP500,S&P 500,2026-03-12,6740.8798828125,6740.8798828125,6670.39990234375,6672.6201171875,6292170000.0
SP500,S&P 500,2026-03-13,6673.490234375,6733.2998046875,6623.919921875,6632.18994140625,5337120000.0
SP500,S&P 500,2026-03-16,6674.3701171875,6729.7900390625,6674.3701171875,6699.3798828125,5176290000.0
SP500,S&P 500,2026-03-17,6722.35009765625,6754.2998046875,6710.7998046875,6716.08984375,5063390000.0
SP500,S&P 500,2026-03-18,6697.16015625,6705.18017578125,6621.66015625,6624.7001953125,5275480000.0
SP500,S&P 500,2026-03-19,6583.1201171875,6636.740234375,6557.81982421875,6606.490234375,5973390000.0
SP500,S&P 500,2026-03-20,6594.66015625,6594.66015625,6473.52001953125,6506.47998046875,10025820000.0
SP500,S&P 500,2026-03-23,6574.9599609375,6651.6201171875,6565.5498046875,6581.0,6020650000.0
SP500,S&P 500,2026-03-24,6552.08984375,6595.75,6525.10986328125,6556.3701171875,5278580000.0
SP500,S&P 500,2026-03-25,6598.35009765625,6633.93994140625,6568.41015625,6591.89990234375,4936720000.0
SP500,S&P 500,2026-03-26,6555.85986328125,6573.22021484375,6473.7900390625,6477.16015625,4845560000.0
SP500,S&P 500,2026-03-27,6453.89013671875,6453.89013671875,6356.080078125,6368.85009765625,5303490000.0
SP500,S&P 500,2026-03-30,6403.3701171875,6427.31005859375,6316.91015625,6343.72021484375,5458640000.0
SP500,S&P 500,2026-03-31,6395.8798828125,6539.0498046875,6395.8798828125,6528.52001953125,6396100000.0
SP500,S&P 500,2026-04-01,6556.56005859375,6609.669921875,6554.2900390625,6575.31982421875,5637260000.0
SP500,S&P 500,2026-04-02,6512.60986328125,6601.91015625,6474.93994140625,6582.68994140625,4740740000.0
SP500,S&P 500,2026-04-06,6587.66015625,6618.1298828125,6579.72021484375,6611.830078125,3906440000.0
SP500,S&P 500,2026-04-07,6601.93017578125,6618.259765625,6534.5498046875,6616.85009765625,4555680000.0
SP500,S&P 500,2026-04-08,6754.35986328125,6793.5,6740.27978515625,6782.81005859375,5904880000.0
SP500,S&P 500,2026-04-09,6783.68994140625,6835.31005859375,6761.5498046875,6824.66015625,4912410000.0
SP500,S&P 500,2026-04-10,6839.240234375,6845.77001953125,6808.4599609375,6816.89013671875,4393220000.0
SP500,S&P 500,2026-04-13,6806.47021484375,6887.0,6790.02001953125,6886.240234375,4785840000.0
SP500,S&P 500,2026-04-14,6910.2001953125,6969.419921875,6905.169921875,6967.3798828125,5032380000.0
SP500,S&P 500,2026-04-15,6978.169921875,7026.240234375,6967.1298828125,7022.9501953125,5278610000.0
